artist,song,year,popularity,genre
Missy Elliott,Hot Boyz,1998,49,"hip hop, pop, R&B"
Enrique Iglesias,Be With You,1999,54,"pop, latin"
Melanie C,I Turn To You,1999,54,"pop, Dance/Electronic"
Savage Garden,Crash and Burn,1999,54,pop
Anastacia,Sick and Tired,1999,56,pop
Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,1999,56,pop
Madison Avenue,Don't Call Me Baby,1999,56,Dance/Electronic
Marc Anthony,You Sang To Me,1999,56,"pop, latin"
Donell Jones,Where I Wanna Be,1999,57,"pop, R&B"
Britney Spears,Born to Make You Happy,1999,58,pop
Mariah Carey,Thank God I Found You (feat. Joe & 98°),1999,59,"pop, R&B"
Montell Jordan,Get It On Tonite,1999,59,"hip hop, pop, R&B"
Sisqo,Incomplete,1999,60,"hip hop, pop, R&B"
Christina Aguilera,I Turn to You,1999,61,pop
Melanie C,Never Be The Same Again,1999,61,"pop, Dance/Electronic"
Sting,Desert Rose,1999,62,"rock, pop"
Donell Jones,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",1999,63,"pop, R&B"
Anastacia,I'm Outta Love - Radio Edit,1999,64,pop
Céline Dion,That's the Way It Is,1999,64,pop
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,1999,64,pop
Creed,With Arms Wide Open,1999,64,"pop, rock, metal"
Gigi D'Agostino,The Riddle,1999,64,pop
Tom Jones,Sexbomb,1999,65,"rock, Folk/Acoustic"
Faith Hill,Breathe,1999,66,"pop, country"
Santana,Maria Maria (feat. The Product G&B),1999,66,"rock, blues, latin"
Backstreet Boys,Show Me the Meaning of Being Lonely,1999,68,pop
Creed,Higher,1999,69,"pop, rock, metal"
JAY-Z,Big Pimpin',1999,69,hip hop
Sisqo,Thong Song,1999,69,"hip hop, pop, R&B"
Destiny's Child,"Jumpin', Jumpin'",1999,70,"pop, R&B"
Crazy Town,Butterfly,1999,71,"rock, metal"
DMX,Party Up,1999,71,"hip hop, pop"
Dido,Thank You,1999,73,pop
Destiny's Child,Say My Name,1999,75,"pop, R&B"
Red Hot Chili Peppers,Otherside,1999,78,rock
blink-182,All The Small Things,1999,79,"rock, pop"
Dr. Dre,Forgot About Dre,1999,79,hip hop
Dr. Dre,The Next Episode,1999,82,hip hop
Musiq Soulchild,Love,2000,0,"pop, R&B"
Oasis,Go Let It Out,2000,0,"Folk/Acoustic, rock"
Nelly Furtado,I'm Like A Bird,2000,1,"hip hop, pop, latin"
Nelly Furtado,Turn Off The Light,2000,1,"hip hop, pop, latin"
Bow Wow,Bounce With Me (feat. Xscape) - Edited Album Version,2000,36,"hip hop, pop, R&B"
Tamia,Stranger in My House,2000,48,"pop, R&B"
Debelah Morgan,Dance with Me,2000,49,"pop, R&B"
Fuel,Hemorrhage (In My Hands),2000,49,"rock, pop, metal"
Roger Sanchez,Another Chance,2000,50,Dance/Electronic
Carl Thomas,I Wish,2000,52,"pop, R&B"
P!nk,Most Girls,2000,52,pop
Ruff Endz,No More,2000,52,R&B
Da Brat,What'chu Like (feat. Tyrese),2000,53,"hip hop, pop, R&B"
Madonna,Don't Tell Me,2000,53,pop
Steps,It's the Way You Make Me Feel,2000,53,"pop, Dance/Electronic"
Erykah Badu,Bag Lady,2000,54,"hip hop, R&B"
Ludacris,Southern Hospitality (Featuring Pharrell),2000,54,"hip hop, pop"
M.O.P.,Cold as Ice,2000,54,hip hop
Matchbox Twenty,Bent,2000,54,"pop, rock"
Moloko,The Time Is Now,2000,54,"pop, Dance/Electronic"
Avant,Separated,2000,55,"pop, R&B"
Bomfunk MC's,Freestyler,2000,55,pop
Jagged Edge,He Can't Love U,2000,55,"hip hop, pop, R&B"
Kandi,Don't Think I'm Not,2000,55,"pop, R&B"
Kylie Minogue,Spinning Around,2000,55,"pop, Dance/Electronic"
Kylie Minogue,Spinning Around,2000,55,"pop, Dance/Electronic"
P!nk,There You Go,2000,55,pop
Sammie,I Like It,2000,55,"hip hop, pop, R&B"
3LW,No More (Baby I'ma Do Right),2000,56,"pop, R&B"
Jagged Edge,Promise,2000,56,"hip hop, pop, R&B"
OPM,Heaven Is a Halfpipe (If I Die),2000,56,rock
Joe,Stutter (feat. Mystikal) - Double Take Remix,2000,57,"pop, R&B"
Mystikal,Shake Ya Ass,2000,57,"hip hop, pop"
Madonna,Music,2000,58,pop
Madonna,American Pie,2000,58,pop
Ronan Keating,Lovin' Each Day,2000,58,"pop, rock"
Vengaboys,Shalala Lala,2000,58,pop
JAY-Z,I Just Wanna Love U (Give It 2 Me),2000,59,hip hop
Mýa,Case Of The Ex (Whatcha Gonna Do),2000,59,"pop, R&B"
Ronan Keating,Life Is A Rollercoaster,2000,59,"pop, rock"
*NSYNC,It's Gonna Be Me,2000,60,pop
Craig David,Fill Me In,2000,60,"hip hop, pop, R&B"
Craig David,Fill Me In,2000,60,"hip hop, pop, R&B"
Ricky Martin,She Bangs - English Version,2000,60,"pop, latin"
Lifehouse,Hanging By A Moment,2000,61,"pop, rock, metal"
All Saints,Pure Shores,2000,62,pop
Sonique,It Feels So Good,2000,62,pop
Mary Mary,Shackles (Praise You),2000,64,R&B
*NSYNC,Bye Bye Bye,2000,65,pop
Baha Men,Who Let The Dogs Out,2000,65,R&B
Britney Spears,Lucky,2000,65,pop
Joe,I Wanna Know,2000,65,"pop, R&B"
Toni Braxton,He Wasn't Man Enough,2000,66,"pop, R&B"
Lenny Kravitz,Again,2000,68,"rock, pop"
Nelly,Country Grammar (Hot Shit),2000,68,"hip hop, pop, R&B"
Robbie Williams,Rock DJ,2000,68,"pop, rock"
The Corrs,Breathless,2000,68,"pop, Folk/Acoustic"
Westlife,My Love,2000,68,pop
