artist,song,year,popularity,genre
Two Door Cinema Club,What You Know,2010,0,"World/Traditional, rock, pop"
Snow Patrol,You're All I Have,2006,35,"World/Traditional, rock, pop"
U2,Sometimes You Can't Make It On Your Own,2004,56,"World/Traditional, rock"
U2,Vertigo,2004,64,"World/Traditional, rock"
KT Tunstall,Black Horse And The Cherry Tree,2005,64,"World/Traditional, pop, Folk/Acoustic"
KT Tunstall,Suddenly I See,2005,71,"World/Traditional, pop, Folk/Acoustic"
Sandi Thom,I Wish I Was a Punk Rocker (with Flowers in My Hair),2006,61,"World/Traditional, pop"
NSG,Options,2020,57,"World/Traditional, hip hop"
Panjabi MC,Mundian to Bach Ke,2003,61,"World/Traditional, hip hop"
Enya,Only Time,2000,69,"World/Traditional, Folk/Acoustic"
Simply Red,Sunrise,2008,58,"rock, R&B, Folk/Acoustic, pop"
M83,Midnight City,2011,76,"rock, pop, metal, Dance/Electronic"
Default,Wasting My Time,2001,40,"rock, pop, metal"
Fuel,Hemorrhage (In My Hands),2000,49,"rock, pop, metal"
Skillet,Monster,2009,75,"rock, pop, metal"
The Offspring,"You're Gonna Go Far, Kid",2008,78,"rock, pop, metal"
Astrid S,Hurts So Good,2016,0,"rock, pop, Dance/Electronic"
Daya,"Sit Still, Look Pretty",2016,1,"rock, pop, Dance/Electronic"
Kiiara,Gold,2015,55,"rock, pop, Dance/Electronic"
The Prodigy,Omen,2009,57,"rock, pop, Dance/Electronic"
Florence + The Machine,Spectrum (Say My Name) - Calvin Harris Remix,2011,68,"rock, pop, Dance/Electronic"
FINNEAS,Let's Fall in Love for the Night,2018,71,"rock, pop, Dance/Electronic"
Empire of the Sun,Walking On A Dream,2008,77,"rock, pop, Dance/Electronic"
Alec Benjamin,Let Me Down Slowly,2018,82,"rock, pop, Dance/Electronic"
BØRNS,Electric Love,2015,0,"rock, pop"
No Doubt,Hey Baby,2001,24,"rock, pop"
No Doubt,Hella Good,2001,26,"rock, pop"
No Doubt,Underneath It All,2001,27,"rock, pop"
Counting Crows,Big Yellow Taxi,2003,50,"rock, pop"
Manic Street Preachers,Your Love Alone Is Not Enough (feat. Nina Persson),2007,53,"rock, pop"
Razorlight,In The Morning,2006,59,"rock, pop"
No Doubt,It's My Life,2003,60,"rock, pop"
No Doubt,It's My Life,2003,60,"rock, pop"
Maggie Lindemann,Pretty Girl - Cheat Codes X CADE Remix,2017,61,"rock, pop"
Switchfoot,Meant to Live,2003,61,"rock, pop"
Sting,Desert Rose,1999,62,"rock, pop"
Coldplay,Violet Hill,2008,63,"rock, pop"
Neon Trees,Animal,2010,64,"rock, pop"
The All-American Rejects,Dirty Little Secret,2005,65,"rock, pop"
The All-American Rejects,Dirty Little Secret,2005,65,"rock, pop"
Coldplay,Princess of China,2011,66,"rock, pop"
Razorlight,America,2006,67,"rock, pop"
Lenny Kravitz,Again,2000,68,"rock, pop"
Travis,Sing,2001,68,"rock, pop"
Coldplay,Speed of Sound,2005,69,"rock, pop"
Coldplay,Every Teardrop Is a Waterfall,2011,69,"rock, pop"
Stereophonics,Dakota,2005,69,"rock, pop"
Tom Walker,Leave a Light On,2017,70,"rock, pop"
Coldplay,In My Place,2002,72,"rock, pop"
Coldplay,Adventure of a Lifetime,2015,76,"rock, pop"
fun.,We Are Young (feat. Janelle Monáe),2012,76,"rock, pop"
Owl City,Good Time,2012,77,"rock, pop"
Dominic Fike,3 Nights,2018,78,"rock, pop"
Jimmy Eat World,The Middle,2001,78,"rock, pop"
Owl City,Fireflies,2009,78,"rock, pop"
blink-182,All The Small Things,1999,79,"rock, pop"
Coldplay,Clocks,2002,79,"rock, pop"
Coldplay,Clocks,2002,79,"rock, pop"
Coldplay,Viva La Vida,2008,80,"rock, pop"
Coldplay,A Sky Full of Stars,2014,80,"rock, pop"
Vance Joy,Riptide,2014,80,"rock, pop"
Coldplay,Paradise,2011,82,"rock, pop"
Coldplay,Paradise,2011,82,"rock, pop"
Coldplay,Hymn for the Weekend,2015,82,"rock, pop"
Foster The People,Pumped Up Kicks,2011,82,"rock, pop"
The Neighbourhood,Daddy Issues,2015,85,"rock, pop"
The Neighbourhood,Sweater Weather,2013,89,"rock, pop"
Marilyn Manson,Tainted Love,2003,60,"rock, metal"
